no.	SMARTS	Toxicity	Accuracy	Fisher P	Parents
109	[C;H1;D2](=O)C[Cl,Br,I,$(O(C)C);!$(O(CC)CC)]	1	1.00	0.000757	
110	CCOC[C;H1;D2]=O	0	0.67	0.594525	
111	[C;H1;D2](=O)c1ccco1	1	0.75	0.630912	
112	[$([C;H;D2](=O)C=C[Cl,Br]),$([C;H;D2](=O)C([Cl,Br])=C)]	1	1.00	0.000405	
113	[C;D2](=O)C=O	1	1.00	0.130941	
114	ClCC(=O)CCl	1	0.71	0.466010	
115	C(=O)C([Cl,Br])([Cl,Br])[Cl,Br]	1	0.83	0.229848	
116	[O;H1;D1]CC(=O)CO	1	0.63	0.619582	
117	ClC(=O)c1ccccc1	1	0.94	0.001499	
118	[O;H1;D1]C1=COC=CC1=O	1	1.00	0.503956	
119	OC(=O)C[Br,I]	1	0.88	0.009739	
120	OC(=O)C([Cl,Br])[Cl,Br]	1	0.71	0.466010	
121	OC(=O)C(Cl)=[C;D3]	1	0.84	0.003843	123
122	OC(=O)C(Cl)=[C;D3]C(=O)O	0	0.67	0.594525	121,123
123	OC(=O)C(Cl)=C[*]	1	0.85	0.002342	
124	[O;H1;D1]C(=O)C1CSCN1	0	1.00	0.000035	
125	CCC(COC(=O)[$([C;H;D2]),$(C[C;H3;D1])]=C)(COC(=O)[$([C;H;D2]),$(C[C;H3;D1])]=C)COC(=O)[$([C;H;D2]),$(C[C;H3;D1])]=C	1	1.00	0.503956	
126	OCCCCOC(=O)[$([C;H;D2]),$(C[C;H3;D1])]=C	0	0.80	0.050924	
127	CC(C)=CC1C(C(=O)O[C;H2;D2][a])C1(C)C	1	1.00	0.503956	
128	BrCC(=O)[O;D2]	1	0.89	0.045794	130
129	COC(=O)c1o[c;!$(c[N+]([O-])=O)](c(c1-c2ccccc2)-c3ccccc3)	0	1.00	0.019478	
130	OC(=O)CBr	1	0.87	0.016564	
131	OC(=O)[C;H2;D2]Cl	0	1.00	0.019478	
132	Cl[C;H2;D2]C(=O)[N;H1;D2][a]	1	1.00	0.067462	
133	NC(=O)[C;H2;D2]Br	0	1.00	0.042835	
134	[Cl,Br,I][C;H2;D2]C[C;H2;D2]C(=O)N	0	0.75	0.336337	
135	[N;D3]C(=O)CC[Cl,Br]	1	0.71	0.466010	
