no.	SMARTS	Toxicity	Accuracy	Fisher P
1	O=[N+]([O-])c1ccc(N=N)c(c1)[N+](=O)[O-]	1	1.000	1
2	O=[N+]([O-])c1ccccc1SSC(=CCl)	1	1.000	1
3	SC(=CCl)Cl	1	1.000	1
4	c1oc(cc1)[N+](=O)[O-]	1	1.000	1
5	c1cc([N+](=O)[O-])sc1	1	1.000	1
6	[N-]=[N+]=NCCC	1	1.000	1
7	O=C(ONC(=O)c1ccccc1)	1	1.000	1
8	c1c2cc(ccc2ns1)[N+](=O)[O-]	1	1.000	1
9	n1ccnc2c1cccc2C	1	1.000	1
10	O=NN(CCCC)CCC	1	1.000	1
11	O=NN(COCC)	1	1.000	1
12	O=C(OCC1OC1)	1	1.000	1
13	c1cc2cc(ccc2[nH]1)[N+](=O)[O-]	1	1.000	1
14	O=NN(CNC)C	1	1.000	1
15	O=C1OCC(=C1Cl)	1	1.000	1
16	c1ccc2c(c1)c(ccc2)CBr	1	1.000	1
17	n1c(OC)c2ccccc2s1	1	1.000	1
18	O=NN1CCCCC1	1	1.000	1
19	O=NN(CN)CCC	1	1.000	1
20	c1cnc2c(nc3ccccn23)c1	1	1.000	1
21	O(C=CC=CC=CC=CC=CC)C	1	1.000	1
22	O=[N+]([O-])c1cccc(c1[N+](=O)[O-])	1	1.000	1
23	c1c(O)cccc1CC2OC2	1	1.000	1
24	O=CN(O)c1ccc(O)cc1	1	1.000	1
25	O=Nc1nccn1	1	1.000	1
26	P(=O)(N)N(C)CC	1	1.000	1
27	n1ccc(NCCC)c2ccc(cc12)	1	1.000	1
28	O=[N+]([O-])c1ccc2c3ccccc3cc(c2c1)	1	1.000	1
29	O=[N+]([O-])c1ccc(cc1)c2ccc(N)cc2	1	1.000	1
30	O=C(N)OCc1ccc(cc1)[N+](=O)[O-]	1	1.000	1
31	O=C(OCc1ccc(cc1)[N+](=O)[O-])CC	1	1.000	1
32	O1C=CC2c3ccc(OC)cc3OC12	1	1.000	1
33	O=[N+]([O-])c1ccccc1Cc2ccccc2	1	1.000	1
34	O=C(N(O)c1ccc(cc1)c2ccccc2)	1	1.000	1
35	Nc1ccc(Oc2ccc(cc2)NO)cc1	1	1.000	1
36	O=[N+]([O-])c1cc(ccc1)N(CC)CC	1	1.000	1
37	O=C(Nc1ncc([N+](=O)[O-])s1)NCC	1	1.000	1
38	O=C(OC(C)c1ccc(OC)cc1)C	1	1.000	1
39	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])[n+]2ccc(cc2)	1	1.000	1
40	N#CC(=CC=Cc1ccccc1)c2ccccc2	1	1.000	1
41	c1ccc(N=Nc2ncc([N+](=O)[O-])s2)c(c1)C	1	1.000	1
42	O=[N+]([O-])c1ccc(OCC)c(c1)S(=O)(=O)	1	1.000	1
43	C(C)COc1c(F)c(F)ccc1[N+](=O)[O-]	1	1.000	1
44	[N+]([O-])c1c(ncn1C)c2ccccc2	1	1.000	1
45	Cc1cccc2c1cccc2[N+](=O)[O-]	1	1.000	1
46	O=S(=O)OCCNCc1ccccc1	1	1.000	1
47	n1ccc2c3ccccc3[nH]c2c1C	1	1.000	1
48	O=Nc1ccc(OP(OC)OC)cc1	1	1.000	1
49	Fc1cc(ccc1N=C(C)CC(C)C)	1	1.000	1
50	C=CC=C(C(=O)C12OC1C(O)(NC2=O)CCO)C	1	1.000	1
51	Cc1ccc(N=Cc2ccc(OC)cc2)cc1	1	1.000	1
52	N#CC(C(=O)OCC)c1c2cc(ccc2ns1)	1	1.000	1
53	O=[N+]([O-])c1cc(c2ccc(cc2c1))[N+](=O)[O-]	1	1.000	1
54	Cc1cccc(c1)C(=O)OCCCCCO	1	1.000	1
55	O=C(OCC1OC(OC)C(O)C1OC(=O))C	1	1.000	1
56	COc1ccc(cc1)N(CCCl)CCCl	1	1.000	1
57	Cc1oc(cc1)c2ccc(cc2)[N+](=O)[O-]	1	1.000	1
58	O=C(Nc1c2cc(ccc2ns1)C)C(Cl)	1	1.000	1
59	O=C(OC)C1(OC1(C)C(O)C(C)C)C(=O)	1	1.000	1
60	C(C(=O)OCC)CC(=O)c1ccccc1	1	1.000	1
61	O=C(NCc1ccc(O)c(OC)c1)C(C)	1	1.000	1
62	O=C(OCCBr)C(O)CC(=O)OCCBr	1	1.000	1
63	O=S(=O)(OCC1OC1)c2ccc(cc2)	1	1.000	1
64	O=NN(C)CCCCc1cnccc1	1	1.000	1
65	O=NN(C(=O)c1c(ncn1C)NC)C	1	1.000	1
66	O=Cc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]	1	1.000	1
67	O=Cc1ccc(cc1C(=O)N)[N+](=O)[O-]	1	1.000	1
68	O=C(N(O)c1ccc2ccccc2c1)	1	1.000	1
69	O=C(OOC(C)(C)C)c1cccc(c1)	1	1.000	1
70	Nc1nc(cs1)c2cc(cs2)[N+](=O)[O-]	1	1.000	1
71	O=C(Nc1ccc(cc1)C(=O)CCl)C	1	1.000	1
72	O=C(c1ccc(OC)c(c1)[N+](=O)[O-])C	1	1.000	1
73	C(NCCc1cc(c(O)c(c1)CO))C	1	1.000	1
74	n1cc(ccc1)CCl	1	1.000	1
75	n1ccc2c3ccccc3[nH]c2c1	1	1.000	1
76	O=[N+]([O-])c1cc[n+]([O-])c(c1)	1	1.000	1
77	n1cc2cccc(N)c2s1	1	1.000	1
78	n1c(c2cc(N)ccc2s1)	1	1.000	1
79	N(=C)c1ccc(cc1)CC	1	1.000	1
80	O=C(OCI)	1	1.000	1
81	Nc1nc2ccc(cc2s1)[N+](=O)[O-]	1	1.000	1
82	n1c(csc1N)c2ccc(N)cc2	1	1.000	1
83	O=C(Nc1ccc(cc1Cl)C)C	1	1.000	1
84	N=Nc1ccc2ncsc2c1	1	1.000	1
85	O=CC(c1ccccc1)Cl	1	1.000	1
86	C(NCCC(=O)N)CCN	1	1.000	1
87	O=C(c1c(cccc1Cl))Cl	1	1.000	1
88	O=C(N(C))CCNN	1	1.000	1
89	O=C(OC)C(F)C(=O)	1	1.000	1
90	SC(=O)NCCCl	1	1.000	1
91	n1c(csc1)CCl	1	1.000	1
92	CSCC(O)CCl	1	1.000	1
93	SC(Cl)(Cl)Cl	1	1.000	1
94	OC1OC1	1	1.000	1
95	O=NN(N)	1	1.000	1
96	c2nc3C(=O)C=CC(=O)c3cc2	1	1.000	1
97	O=Nn1cc(c2ccccc12)CC	1	1.000	1
98	O=[N+]([O-])c1ccc(c2ccccc2)c(c1)	1	0.974	1
99	O=[N+]c1ccc(N)c(N)c1	1	0.962	1
100	n1ccnc2c1ccc(N)c2	1	0.960	1
