No.	Mols	MW	AMW	Sv	Mv	Sp	Mp	Se	Me	nAt	nSk	nBt	nBo	nBm	nDblBo	nTrpBo	nArBo	SCBO	nH	nC	nN	nO	nP	nS	nF	nCl	nBr	nI	nB	HPerc	CPerc	NPerc	OPerc	XPerc	nHet	nX
226	OC24(OCc1cc5OCOc5(cc1C34(C=CC(OC)CC3(N(C)C2))))	27.5	0.611	27.54	0.612	28.85	0.641	45.55	1.012	45	24	49	28	7	1	0	6	32	21	18	1	5	0	0	0	0	0	0	0	46.667	40	2.222	11.111	0	6	0
227	Oc1ccc(cc1)C3c2cc(OC)c(O)cc2CN(C)C3	23.68	0.592	24.92	0.623	26.19	0.655	40.01	1	40	21	42	23	12	0	0	12	29	19	17	1	3	0	0	0	0	0	0	0	47.5	42.5	2.5	7.5	0	4	0
228	[O-]c2cc1c4cc5OCOc5(cc4(c[n+]3c1c(c2)CC3))	22.04	0.711	21.52	0.694	22.15	0.715	31.49	1.016	31	20	35	24	16	0	0	16	32	11	16	1	3	0	0	0	0	0	0	0	35.484	51.613	3.226	9.677	0	4	0
229	n1ccc2cc(OC)c(OC)cc2(c1)	15.71	0.628	16.01	0.64	16.7	0.668	25.16	1.006	25	14	26	15	11	0	0	11	20.5	11	11	1	2	0	0	0	0	0	0	0	44	44	4	8	0	3	0
230	OC3C=CC24(c1cc5OCOc5(cc1CN(CC2)C4(C3)))	22.52	0.609	23.32	0.63	24.43	0.66	37.13	1.004	37	20	41	24	7	1	0	6	28	17	16	1	3	0	0	0	0	0	0	0	45.946	43.243	2.703	8.108	0	4	0
231	OC1C=CC24(c3c(OC2(C1))c(OC)ccc3CN(C)CC4)	23.84	0.568	25.52	0.608	26.95	0.642	41.89	0.997	42	21	45	24	7	1	0	6	28	21	17	1	3	0	0	0	0	0	0	0	50	40.476	2.381	7.143	0	4	0
232	O=C(OCC)C4(NC2c1cc6OCOc6(cc1C35(CCN(C)C5(CC(O)C4(C23)))))(CC(C)C)	36.71	0.556	39.13	0.593	41.41	0.627	65.93	0.999	66	32	71	37	7	1	0	6	41	34	25	2	5	0	0	0	0	0	0	0	51.515	37.879	3.03	7.576	0	7	0
233	OC4CN2Cc1cc5OCOc5(cc1C34(C=CC(OC)CC23))	25.01	0.61	25.43	0.62	26.64	0.65	41.34	1.008	41	22	45	26	7	1	0	6	30	19	17	1	4	0	0	0	0	0	0	0	46.341	41.463	2.439	9.756	0	5	0
234	OC2C=C3CCN4Cc1cc5OCOc5(cc1C(C2(O))C34)	23.85	0.628	23.83	0.627	24.88	0.655	38.46	1.012	38	21	42	25	7	1	0	6	29	17	16	1	4	0	0	0	0	0	0	0	44.737	42.105	2.632	10.526	0	5	0
235	O=C3NC1C(=CC(O)C(O)C1(O))c4cc2OCOc2c(O)c34	25.52	0.729	22.16	0.633	22.71	0.649	36.69	1.048	35	22	38	25	8	2	0	6	30	13	14	1	7	0	0	0	0	0	0	0	37.143	40	2.857	20	0	8	0
236	Oc1cc2C=[N+](C)CCc2(cc1(OC))	15.95	0.57	16.91	0.604	17.84	0.637	27.98	0.999	28	14	29	15	7	1	0	6	19	14	11	1	2	0	0	0	0	0	0	0	50	39.286	3.571	7.143	0	3	0
237	Oc1cc2c(cc1(O))C4C(O)CC=C3CCN(C2)C34	21.52	0.598	22.32	0.62	23.43	0.651	36.13	1.004	36	19	39	22	7	1	0	6	26	17	15	1	3	0	0	0	0	0	0	0	47.222	41.667	2.778	8.333	0	4	0
238	Oc1ccc(cc1)c3[o+]c4cc(O)cc(O)c4(cc3(OC2OC(CO)C(O)C(O)C2(O)))	35.98	0.692	32.4	0.623	33.48	0.644	54.04	1.039	52	31	55	34	17	0	0	17	42.5	21	21	0	10	0	0	0	0	0	0	0	40.385	40.385	0	19.231	0	10	0
239	Oc2cc(O)c3cc(OC1OC(C)C(O)C(O)C1(O))c([o+]c3(c2))c4ccc(O)c(O)c4	35.98	0.692	32.4	0.623	33.48	0.644	54.04	1.039	52	31	55	34	17	0	0	17	42.5	21	21	0	10	0	0	0	0	0	0	0	40.385	40.385	0	19.231	0	10	0
