no.	SMARTS	Toxicity	Accuracy	Fisher P	Parents
200	COc1ccc(cc1Cl)Cl	0	1.00	0.000078	2,19,21,60,138
201	CCCCCCCO	0	1.00	0.000078	3,7,11,27,30,64,71,182
202	CCCCCCCCC(=O)O	0	1.00	0.000171	3,5,6,7,11,27,30,56,64,71,116,117,119,133,143,169,175,179,182,189,201,232,235
203	O=CCOc1ccc(cc1Cl)Cl	0	1.00	0.000171	2,7,19,21,60,138,200
204	CCCCC=C(C)C	0	1.00	0.000171	3,11,23,27,145,161
205	CCCCOCC	0	1.00	0.000171	3,7,11,30,92,156
206	CCCCCCCCCCCCCCCCCC	0	1.00	0.000378	3,11,27,64,71,116,133,139,140,141,148,170,171,173,181
207	CC(=C)CCC=C(C)C	0	1.00	0.000378	3,11,23,27,145,161,204
208	COc1cc(c(cc1Cl)Cl)Cl	0	1.00	0.000831	2,19,21,60,136,138,172,193,200
209	O=CCOc1cc(c(cc1Cl)Cl)Cl	0	1.00	0.001829	2,7,19,21,60,136,138,172,193,200,203,208
210	CC(=O)CC=O	0	1.00	0.001829	3,11,103,119
211	c1ccc(cc1)c2nc3ccccc3(o2)	0	1.00	0.001829	2217
212	CC(CO)N	0	1.00	0.004025	3,7,42,142
213	O=COCc1ccccc1	0	1.00	0.004025	2,5,8
214	O=S(=O)(Nc1ccccc1)c3cccc2cccnc23	0	1.00	0.004025	2,54,192,196
215	CCCCCCCCCCCCO	0	1.00	0.004025	3,7,11,27,30,64,71,116,133,139,140,141,182,189,201,225,235,237
216	CCCCOC(=O)C(=C)C	0	1.00	0.004025	3,5,6,7,11,23,29,30,56,69,92,102,118,120,137,144,151,153,156,174,180,188,190,205
217	c1ccc2ocnc2(c1)	0	1.00	0.004025	2
218	OC(=O)COc1ccc(cc1Cl)Cl	0	1.00	0.004025	2,5,6,7,19,21,60,138,152,200,203
219	OP(=O)(O)O	0	1.00	0.004025	
220	CCCCC(CC)COC(C)=O	0	1.00	0.004025	3,5,6,7,11,14,27,29,30,64,69,71,92,96,135,156,158,159,174,178,182,205
221	CC(=O)Nc1ccc(cc1)S(=O)=O	0	1.00	0.004025	2,42,195
222	CCCCOC(=O)c1ccccc1(C(=O)O)	0	1.00	0.004025	2,3,5,7,8,11,29,30,62,92,154,174,224,229
223	CC=C(C)CCC=C(C)C	0	1.00	0.004025	3,11,23,27,145,161,204,207
224	CCCCOC(=O)c1ccccc1	0	1.00	0.004025	2,3,5,7,8,11,29,30,62,92,154,174,229
225	CCCCCCCCCCCO	0	1.00	0.004025	3,7,11,27,30,64,71,116,133,139,140,182,189,201,235,237
226	CCCCC(CC)COC(=O)c1ccccc1	0	1.00	0.008855	2,3,5,7,8,11,14,27,29,30,62,64,71,92,96,135,154,158,159,174,178,182,224,229
227	O=CCCC(=O)O	0	1.00	0.008855	3,5,6,7,11,30,56,117,119
228	OC1CCCCC1	0	1.00	0.008855	3,7,11,27,30,64,134,182
229	CCOC(=O)c1ccccc1	0	1.00	0.008855	2,5,7,8,29,62,92,154
230	CN(C)CCN(C)c1ccccn1	0	1.00	0.008855	42,54,168,233
231	O=Cc1cccc2cccnc12	0	1.00	0.008855	2,8,54
232	CCCCCCC=O	0	1.00	0.008855	3,11,27,64,71,119,169
233	CN(C)CCNc1ccccn1	0	1.00	0.008855	42,54,168
234	CCCCCCCCCC(=O)O	0	1.00	0.008855	3,5,6,7,11,27,30,56,64,71,116,117,119,133,139,143,169,175,179,182,189,201,202,232,235,237
235	CCCCCCCCCO	0	1.00	0.008855	3,7,11,27,30,64,71,116,133,182,189,201
236	FC(F)Cl	0	1.00	0.008855	
237	CCCCCCCCCCO	0	1.00	0.008855	3,7,11,27,30,64,71,116,133,139,182,189,201,235
238	O=C(O)C1OCC(O)C(O)C1(O)	0	1.00	0.008855	3,5,6,7,11,27,30,56,64,92,117,119,143,152,156,169,175,182,183,205
